State Name,Year,Month,Day of Week,Time of Day,Accident Severity,Number of Vehicles Involved,Vehicle Type Involved,Number of Casualties,Number of Fatalities,Weather Conditions,Road Type,Road Condition,Lighting Conditions,Traffic Control Presence,Speed Limit (km/h),Driver Age,Driver License Status,Alcohol Involvement,Accident Location Details
West Bengal,2022,March,Sunday,07:43,Fatal,5,Pedestrian,9,0,Rainy,Village Road,Under Construction,Dark,Signals,41,28,Expired,Yes,Curve
West Bengal,2020,April,Thursday,07:27,Serious,3,Two-Wheeler,12,0,Clear,National Highway,Damaged,Dark,Police Checkpost,77,67,Valid,No,Bridge
Bihar,2023,December,Monday,01:50,Minor,2,Bus,10,1,Clear,State Highway,Wet,Dusk,Signs,116,41,None,No,Intersection
Maharashtra,2022,April,Monday,17:33,Fatal,3,Pedestrian,9,1,Rainy,State Highway,Wet,Dark,Police Checkpost,78,32,Valid,Yes,Intersection
Mizoram,2023,April,Sunday,23:14,Fatal,1,Two-Wheeler,4,5,Clear,National Highway,Dry,Dawn,Police Checkpost,46,66,Valid,Yes,Bridge
Jharkhand,2020,August,Thursday,00:49,Serious,1,Bus,8,0,Stormy,Urban Road,Under Construction,Daylight,None,86,60,Expired,Yes,Bridge
Jammu and Kashmir,2020,March,Monday,06:01,Fatal,3,Bus,11,1,Rainy,National Highway,Dry,Daylight,Signals,87,38,None,Yes,Intersection
Arunachal Pradesh,2020,July,Friday,13:31,Minor,4,Car,13,2,Clear,Urban Road,Damaged,Dawn,Signals,110,19,Valid,No,Intersection
Bihar,2020,December,Monday,05:34,Serious,5,Cycle,9,2,Clear,Urban Road,Wet,Daylight,Police Checkpost,43,32,Expired,No,Curve
Rajasthan,2023,June,Tuesday,07:25,Minor,4,Cycle,8,2,Foggy,Urban Road,Dry,Dawn,None,64,35,Valid,No,Bridge
Gujarat,2022,December,Friday,11:41,Serious,3,Auto-Rickshaw,13,2,Rainy,Urban Road,Damaged,Dark,Signals,117,42,Expired,Yes,Curve
Maharashtra,2019,February,Saturday,17:31,Minor,5,Car,12,2,Rainy,National Highway,Under Construction,Daylight,None,60,36,Expired,No,Intersection
Gujarat,2021,June,Saturday,01:42,Serious,3,Two-Wheeler,4,0,Clear,Urban Road,Wet,Dawn,None,37,31,Expired,No,Bridge
West Bengal,2021,December,Thursday,08:32,Minor,4,Truck,14,1,Stormy,Village Road,Dry,Dawn,Police Checkpost,100,25,Expired,No,Curve
Maharashtra,2022,February,Wednesday,11:27,Fatal,5,Car,10,2,Clear,State Highway,Wet,Dawn,None,44,40,Expired,Yes,Intersection
Meghalaya,2021,November,Wednesday,19:51,Minor,3,Truck,12,3,Rainy,State Highway,Dry,Dark,Signals,98,26,None,No,Straight Road
Tamil Nadu,2020,January,Thursday,19:22,Serious,1,Pedestrian,9,2,Clear,Village Road,Dry,Dark,None,114,33,None,Yes,Straight Road
Andhra Pradesh,2020,December,Thursday,09:48,Fatal,4,Auto-Rickshaw,11,1,Stormy,State Highway,Wet,Daylight,None,80,22,None,Yes,Bridge
Goa,2019,November,Wednesday,21:30,Minor,3,Car,14,2,Stormy,State Highway,Wet,Daylight,None,114,52,Valid,No,Bridge
Puducherry,2021,March,Thursday,11:52,Fatal,5,Two-Wheeler,6,5,Clear,State Highway,Damaged,Dusk,Signs,30,42,Valid,Yes,Curve
Punjab,2022,November,Tuesday,09:44,Fatal,2,Two-Wheeler,10,0,Foggy,State Highway,Damaged,Dawn,None,94,38,Expired,Yes,Bridge
Jharkhand,2020,June,Thursday,22:16,Minor,1,Bus,11,2,Clear,Village Road,Dry,Dark,None,120,31,Valid,No,Straight Road
Odisha,2019,September,Monday,16:12,Fatal,4,Bus,8,5,Clear,Urban Road,Under Construction,Daylight,Signs,44,54,Expired,Yes,Straight Road
Telangana,2022,March,Sunday,09:30,Minor,3,Auto-Rickshaw,10,2,Clear,Village Road,Dry,Dawn,Signs,82,41,None,No,Bridge
Goa,2019,April,Thursday,05:36,Fatal,1,Pedestrian,9,1,Clear,National Highway,Wet,Dusk,Signals,106,60,Valid,Yes,Bridge
Kerala,2019,March,Friday,15:33,Fatal,2,Pedestrian,6,5,Rainy,National Highway,Dry,Dusk,None,38,53,None,Yes,Bridge
Odisha,2018,March,Monday,05:31,Minor,3,Car,7,1,Clear,Urban Road,Under Construction,Daylight,Signals,33,11,Valid,No,Bridge
Tamil Nadu,2020,December,Saturday,13:54,Serious,3,Bus,9,4,Clear,Village Road,Damaged,Dusk,None,80,37,Valid,Yes,Curve
Andhra Pradesh,2022,November,Tuesday,13:07,Minor,5,Auto-Rickshaw,14,5,Clear,State Highway,Under Construction,Dark,Signs,105,24,Valid,No,Intersection
Kerala,2018,October,Wednesday,14:56,Fatal,2,Truck,10,2,Foggy,Village Road,Dry,Dusk,None,101,44,None,Yes,Curve
Andhra Pradesh,2021,April,Monday,06:26,Serious,5,Pedestrian,14,4,Clear,Village Road,Under Construction,Daylight,Signs,106,32,Expired,No,Intersection
Nagaland,2021,August,Sunday,16:13,Minor,5,Bus,11,2,Clear,State Highway,Damaged,Dark,Signs,55,44,None,No,Straight Road
Goa,2021,September,Sunday,07:29,Minor,5,Auto-Rickshaw,9,5,Clear,State Highway,Wet,Dark,Signals,36,38,None,No,Curve
Tamil Nadu,2021,April,Monday,11:23,Minor,2,Truck,5,0,Stormy,Urban Road,Wet,Dusk,None,30,43,Valid,No,Straight Road
Chhattisgarh,2020,April,Tuesday,02:23,Serious,3,Car,8,4,Rainy,State Highway,Wet,Daylight,Signs,49,31,Expired,Yes,Intersection
Arunachal Pradesh,2023,May,Friday,08:34,Fatal,1,Pedestrian,8,4,Rainy,State Highway,Under Construction,Dusk,Police Checkpost,77,47,None,Yes,Straight Road
Sikkim,2018,October,Saturday,13:27,Fatal,2,Cycle,8,1,Clear,State Highway,Dry,Dusk,Police Checkpost,81,38,None,Yes,Bridge
Mizoram,2020,February,Thursday,20:53,Minor,4,Cycle,11,2,Rainy,State Highway,Under Construction,Daylight,Signs,83,37,Valid,No,Intersection
Delhi,2020,March,Saturday,15:03,Serious,3,Auto-Rickshaw,10,5,Clear,State Highway,Dry,Dawn,Signals,97,32,None,No,Straight Road
Telangana,2022,March,Sunday,16:33,Minor,1,Pedestrian,7,2,Clear,Urban Road,Dry,Dusk,Signs,76,35,Expired,No,Straight Road
Arunachal Pradesh,2019,November,Sunday,20:56,Serious,2,Pedestrian,7,2,Clear,National Highway,Wet,Daylight,Signals,50,19,Expired,Yes,Bridge
Uttar Pradesh,2020,November,Tuesday,08:12,Serious,1,Pedestrian,8,4,Rainy,Village Road,Dry,Daylight,Signs,75,37,Valid,No,Curve
Jharkhand,2021,May,Monday,02:14,Minor,3,Truck,11,4,Foggy,Urban Road,Wet,Dawn,Signs,75,47,None,No,Straight Road
Sikkim,2023,October,Sunday,06:39,Serious,3,Auto-Rickshaw,8,2,Rainy,State Highway,Dry,Dark,Police Checkpost,58,49,None,No,Bridge
Assam,2020,March,Tuesday,03:05,Fatal,5,Pedestrian,9,2,Clear,National Highway,Damaged,Dawn,Police Checkpost,45,31,None,Yes,Straight Road
Kerala,2023,February,Sunday,19:40,Serious,3,Two-Wheeler,10,1,Clear,Village Road,Wet,Dark,None,75,43,Expired,Yes,Curve
Uttar Pradesh,2022,September,Saturday,15:44,Fatal,2,Cycle,11,0,Rainy,National Highway,Dry,Dark,None,92,34,Valid,Yes,Curve
Karnataka,2022,December,Thursday,20:14,Minor,1,Two-Wheeler,8,3,Stormy,Village Road,Wet,Dusk,None,76,36,None,No,Bridge
Puducherry,2021,August,Saturday,11:52,Serious,5,Pedestrian,13,4,Stormy,Village Road,Wet,Dawn,Signs,100,41,Expired,Yes,Bridge
Telangana,2023,May,Monday,13:06,Fatal,1,Auto-Rickshaw,6,5,Rainy,Village Road,Damaged,Dark,Police Checkpost,55,51,Expired,Yes,Bridge
Kerala,2020,February,Monday,08:52,Minor,2,Bus,10,2,Clear,National Highway,Under Construction,Dawn,None,105,46,Valid,No,Intersection
Gujarat,2022,March,Monday,16:36,Minor,5,Two-Wheeler,15,2,Clear,National Highway,Wet,Dark,Signals,100,57,Expired,No,Straight Road
Odisha,2021,June,Thursday,16:41,Serious,5,Bus,13,2,Rainy,Urban Road,Under Construction,Daylight,None,82,42,Expired,Yes,Curve
Delhi,2023,October,Tuesday,00:28,Fatal,1,Car,11,5,Clear,Village Road,Damaged,Daylight,Police Checkpost,115,34,None,Yes,Intersection
Goa,2020,February,Saturday,08:30,Minor,5,Auto-Rickshaw,16,3,Rainy,Urban Road,Dry,Dawn,Signs,114,32,Valid,No,Straight Road
Gujarat,2018,April,Saturday,06:18,Serious,3,Bus,7,5,Clear,State Highway,Under Construction,Dark,Signs,31,23,Valid,Yes,Curve
Nagaland,2019,March,Saturday,02:10,Minor,3,Cycle,8,0,Stormy,Village Road,Wet,Dark,Police Checkpost,46,41,Expired,No,Curve
Gujarat,2022,January,Wednesday,21:10,Fatal,4,Truck,13,1,Rainy,State Highway,Dry,Dawn,Signs,110,49,Expired,Yes,Curve
Goa,2018,June,Sunday,16:22,Serious,1,Truck,7,1,Stormy,Village Road,Under Construction,Dawn,Signs,94,70,None,Yes,Straight Road
Mizoram,2023,August,Monday,11:24,Fatal,1,Cycle,9,1,Clear,Urban Road,Wet,Dark,Signs,100,49,Valid,Yes,Curve
Uttarakhand,2018,June,Thursday,22:37,Fatal,4,Auto-Rickshaw,14,0,Rainy,Village Road,Dry,Dark,Police Checkpost,102,28,Expired,Yes,Straight Road
Madhya Pradesh,2020,June,Tuesday,12:06,Serious,4,Cycle,14,2,Clear,State Highway,Wet,Dark,Police Checkpost,97,31,Valid,Yes,Curve
Meghalaya,2022,October,Monday,11:32,Serious,5,Two-Wheeler,11,0,Clear,Urban Road,Under Construction,Daylight,Police Checkpost,76,17,Valid,Yes,Curve
Nagaland,2020,July,Monday,06:13,Fatal,5,Auto-Rickshaw,13,0,Rainy,Urban Road,Under Construction,Dusk,None,75,51,Expired,Yes,Bridge
Delhi,2021,January,Friday,05:00,Fatal,3,Pedestrian,9,5,Stormy,Village Road,Dry,Dark,Signs,49,23,Valid,Yes,Straight Road
Delhi,2023,September,Saturday,14:20,Minor,3,Truck,12,0,Rainy,Urban Road,Dry,Dawn,Signals,113,62,Expired,No,Straight Road
Punjab,2020,May,Friday,23:17,Fatal,2,Pedestrian,9,0,Clear,State Highway,Wet,Dusk,Signs,61,36,None,Yes,Straight Road
Uttar Pradesh,2023,November,Wednesday,19:28,Serious,5,Truck,9,0,Rainy,Village Road,Wet,Dawn,None,43,54,None,Yes,Straight Road
Delhi,2020,July,Friday,21:15,Fatal,1,Car,9,0,Clear,Urban Road,Under Construction,Dusk,Police Checkpost,81,45,Expired,Yes,Straight Road
Madhya Pradesh,2018,November,Friday,21:37,Minor,2,Two-Wheeler,6,2,Clear,State Highway,Wet,Dawn,Signs,41,35,Valid,No,Intersection
Maharashtra,2022,March,Sunday,06:30,Minor,2,Truck,9,3,Clear,National Highway,Damaged,Dusk,Police Checkpost,86,25,Valid,No,Curve
Assam,2019,September,Tuesday,22:38,Fatal,3,Bus,7,5,Rainy,State Highway,Dry,Daylight,Police Checkpost,42,40,None,Yes,Intersection
Jharkhand,2022,January,Friday,18:51,Minor,5,Pedestrian,13,4,Clear,Village Road,Damaged,Dawn,None,86,43,None,No,Bridge
Tamil Nadu,2023,October,Monday,03:27,Minor,5,Pedestrian,13,5,Foggy,Village Road,Wet,Dusk,Signs,99,34,Valid,No,Intersection
Punjab,2020,January,Tuesday,01:14,Minor,4,Truck,13,2,Clear,Village Road,Under Construction,Dusk,Police Checkpost,89,30,Expired,No,Straight Road
Sikkim,2020,January,Wednesday,17:33,Serious,1,Cycle,9,1,Stormy,State Highway,Under Construction,Daylight,Signs,89,15,Expired,No,Straight Road
Tamil Nadu,2023,November,Saturday,05:54,Fatal,1,Auto-Rickshaw,4,1,Clear,State Highway,Damaged,Daylight,Signals,31,57,Valid,Yes,Bridge
Delhi,2020,January,Wednesday,10:56,Minor,4,Car,11,1,Rainy,Village Road,Wet,Dusk,None,75,29,Valid,No,Intersection
Meghalaya,2019,October,Monday,19:31,Minor,3,Truck,14,0,Clear,State Highway,Under Construction,Dawn,Signs,103,58,Expired,No,Bridge
Goa,2023,September,Wednesday,15:22,Fatal,4,Car,12,3,Rainy,National Highway,Damaged,Dusk,None,113,34,Valid,Yes,Intersection
Punjab,2021,February,Saturday,00:23,Minor,4,Cycle,12,4,Clear,Urban Road,Under Construction,Dusk,Signs,71,47,Valid,No,Bridge
Arunachal Pradesh,2018,December,Tuesday,11:57,Fatal,2,Cycle,6,1,Rainy,Urban Road,Under Construction,Dusk,Signs,35,56,Valid,Yes,Straight Road
Uttarakhand,2023,August,Thursday,12:40,Serious,5,Pedestrian,11,5,Rainy,State Highway,Under Construction,Dark,Signs,79,43,None,No,Straight Road
Mizoram,2020,December,Tuesday,04:51,Fatal,3,Auto-Rickshaw,7,1,Clear,State Highway,Damaged,Daylight,Police Checkpost,54,57,Expired,Yes,Bridge
Himachal Pradesh,2023,December,Saturday,02:42,Fatal,2,Auto-Rickshaw,7,1,Clear,National Highway,Under Construction,Daylight,None,86,39,Expired,Yes,Intersection
West Bengal,2021,March,Saturday,04:35,Fatal,4,Cycle,8,2,Clear,Village Road,Dry,Daylight,None,32,68,Expired,Yes,Curve
Nagaland,2022,February,Monday,04:41,Fatal,1,Cycle,8,0,Clear,Urban Road,Damaged,Daylight,Signals,57,31,Valid,Yes,Intersection
Puducherry,2023,December,Monday,12:51,Minor,3,Cycle,10,0,Rainy,National Highway,Wet,Daylight,Police Checkpost,104,22,Expired,No,Curve
Andhra Pradesh,2018,May,Tuesday,00:25,Serious,2,Bus,8,0,Rainy,Urban Road,Wet,Dark,None,86,42,None,Yes,Straight Road
Assam,2018,April,Friday,15:50,Fatal,3,Pedestrian,14,0,Clear,Village Road,Under Construction,Dusk,None,119,28,Valid,Yes,Bridge
Madhya Pradesh,2022,January,Sunday,06:48,Minor,3,Cycle,11,1,Clear,Village Road,Damaged,Dusk,Signals,110,32,Valid,No,Straight Road
Himachal Pradesh,2021,May,Saturday,00:14,Serious,5,Auto-Rickshaw,12,3,Clear,National Highway,Damaged,Dawn,Signals,99,39,Valid,Yes,Bridge
Jharkhand,2020,August,Tuesday,19:14,Serious,3,Truck,9,2,Rainy,Urban Road,Damaged,Dark,Signs,79,34,None,Yes,Intersection
Odisha,2019,May,Sunday,10:35,Fatal,5,Cycle,9,1,Clear,State Highway,Dry,Dusk,Police Checkpost,45,26,Expired,Yes,Bridge
Odisha,2018,January,Thursday,08:38,Minor,4,Car,11,3,Rainy,State Highway,Damaged,Dawn,Signs,88,40,None,No,Bridge
Telangana,2021,July,Wednesday,21:54,Minor,3,Auto-Rickshaw,9,4,Foggy,Village Road,Damaged,Dawn,Police Checkpost,76,54,None,No,Intersection
Tripura,2021,April,Wednesday,01:39,Minor,3,Truck,10,5,Rainy,State Highway,Wet,Dark,Police Checkpost,81,37,Expired,No,Straight Road
Goa,2018,July,Tuesday,12:16,Serious,1,Bus,10,1,Clear,Urban Road,Damaged,Daylight,Police Checkpost,98,34,Expired,Yes,Intersection
Chhattisgarh,2023,November,Thursday,11:52,Fatal,2,Car,6,3,Rainy,Urban Road,Under Construction,Dawn,None,65,47,Expired,Yes,Straight Road
Punjab,2019,August,Wednesday,11:43,Fatal,2,Pedestrian,11,3,Rainy,Village Road,Wet,Dark,Police Checkpost,108,28,Valid,Yes,Curve
Uttar Pradesh,2022,October,Wednesday,04:58,Minor,3,Two-Wheeler,13,5,Rainy,Village Road,Under Construction,Dusk,None,112,46,Valid,No,Curve
Telangana,2022,April,Sunday,19:07,Serious,2,Cycle,13,3,Clear,Village Road,Damaged,Dusk,None,118,52,Valid,Yes,Straight Road
Nagaland,2023,February,Thursday,04:25,Serious,1,Bus,8,5,Clear,State Highway,Dry,Dark,Signals,81,34,Expired,Yes,Curve
Kerala,2019,January,Monday,17:02,Minor,4,Pedestrian,13,2,Clear,Urban Road,Wet,Dusk,Signals,91,42,None,No,Bridge
Jammu and Kashmir,2022,October,Tuesday,00:22,Minor,3,Bus,11,1,Rainy,Urban Road,Dry,Dusk,Signs,95,48,Valid,No,Intersection
Himachal Pradesh,2019,May,Tuesday,22:55,Minor,1,Car,5,1,Rainy,State Highway,Damaged,Daylight,Signals,37,38,Expired,No,Bridge
Delhi,2018,February,Tuesday,15:58,Minor,2,Bus,8,3,Rainy,Urban Road,Dry,Daylight,Signals,81,48,Valid,No,Intersection
Karnataka,2018,March,Friday,15:42,Minor,4,Bus,14,2,Clear,State Highway,Damaged,Daylight,Signs,89,47,Valid,No,Intersection
Karnataka,2019,August,Tuesday,05:26,Serious,2,Two-Wheeler,8,5,Clear,National Highway,Damaged,Dusk,Police Checkpost,76,32,Valid,Yes,Intersection
Madhya Pradesh,2022,June,Monday,01:03,Fatal,4,Car,6,3,Foggy,Urban Road,Dry,Dusk,Signals,32,27,Expired,Yes,Bridge
Manipur,2021,November,Thursday,19:25,Fatal,5,Bus,13,1,Foggy,Village Road,Wet,Dark,Signals,104,59,Valid,Yes,Intersection
Gujarat,2019,October,Friday,10:23,Fatal,3,Pedestrian,11,0,Rainy,State Highway,Dry,Daylight,Signals,107,46,Valid,Yes,Straight Road
Rajasthan,2018,October,Saturday,04:24,Minor,1,Bus,9,2,Rainy,Urban Road,Wet,Dusk,Signs,79,34,Expired,No,Intersection
Tamil Nadu,2021,April,Thursday,05:29,Fatal,2,Auto-Rickshaw,8,5,Clear,National Highway,Under Construction,Dusk,Police Checkpost,84,49,Valid,Yes,Intersection
Karnataka,2018,April,Saturday,06:45,Minor,3,Car,11,3,Clear,Urban Road,Dry,Dark,None,98,48,Valid,No,Straight Road
Arunachal Pradesh,2021,January,Friday,02:56,Minor,3,Truck,10,4,Clear,State Highway,Dry,Dark,Police Checkpost,51,50,Expired,No,Intersection
Uttarakhand,2023,February,Saturday,12:05,Serious,2,Pedestrian,9,4,Rainy,Village Road,Wet,Dusk,None,66,16,None,No,Curve
Punjab,2018,June,Saturday,03:58,Minor,1,Truck,6,1,Rainy,National Highway,Under Construction,Dusk,Signals,74,40,None,No,Bridge
Chhattisgarh,2019,October,Tuesday,16:00,Minor,5,Cycle,9,1,Clear,National Highway,Damaged,Daylight,Signals,33,20,Valid,No,Intersection
Sikkim,2023,August,Sunday,07:19,Fatal,4,Car,12,1,Rainy,State Highway,Wet,Dusk,Signs,59,49,Expired,Yes,Intersection
Chandigarh,2022,December,Saturday,17:58,Minor,4,Auto-Rickshaw,12,2,Clear,Urban Road,Dry,Daylight,Police Checkpost,64,48,Expired,No,Straight Road
Delhi,2023,February,Tuesday,10:44,Serious,5,Two-Wheeler,10,2,Rainy,Urban Road,Damaged,Dawn,Signals,62,16,Valid,Yes,Bridge
West Bengal,2021,October,Sunday,03:52,Serious,1,Two-Wheeler,5,4,Clear,National Highway,Wet,Daylight,Signals,51,40,Valid,Yes,Intersection
Chhattisgarh,2018,August,Thursday,07:49,Minor,4,Auto-Rickshaw,9,3,Clear,State Highway,Dry,Dark,Signals,40,45,None,No,Bridge
Uttarakhand,2018,August,Saturday,01:43,Minor,4,Pedestrian,7,4,Clear,Village Road,Dry,Dawn,Police Checkpost,44,32,Expired,No,Intersection
Maharashtra,2021,May,Saturday,19:55,Serious,5,Auto-Rickshaw,13,4,Clear,Urban Road,Dry,Dark,Signals,85,44,Expired,Yes,Intersection
Manipur,2022,February,Wednesday,03:53,Serious,3,Car,13,3,Foggy,National Highway,Under Construction,Daylight,Signs,114,52,None,No,Intersection
Goa,2020,March,Thursday,16:29,Fatal,2,Two-Wheeler,7,1,Foggy,State Highway,Dry,Dusk,Police Checkpost,81,36,Expired,Yes,Curve
Haryana,2022,July,Sunday,05:35,Fatal,3,Two-Wheeler,7,2,Clear,State Highway,Under Construction,Dusk,None,33,51,Expired,Yes,Curve
Uttar Pradesh,2022,November,Friday,00:13,Minor,1,Car,7,2,Stormy,State Highway,Damaged,Dusk,None,72,34,Valid,No,Intersection
Jammu and Kashmir,2020,March,Thursday,05:53,Minor,3,Truck,13,2,Rainy,State Highway,Damaged,Dark,Police Checkpost,112,29,Valid,No,Bridge
Assam,2020,March,Thursday,07:38,Fatal,4,Two-Wheeler,7,3,Clear,Village Road,Under Construction,Dusk,None,38,39,Valid,Yes,Intersection
Nagaland,2018,January,Thursday,13:18,Minor,3,Auto-Rickshaw,8,3,Clear,Village Road,Damaged,Dusk,Signs,44,35,None,No,Intersection
Gujarat,2022,November,Wednesday,07:41,Minor,2,Bus,13,4,Rainy,National Highway,Damaged,Dawn,Police Checkpost,117,17,Valid,No,Bridge
Uttar Pradesh,2023,July,Thursday,21:57,Fatal,3,Two-Wheeler,6,5,Rainy,Urban Road,Wet,Daylight,Signs,44,65,None,Yes,Straight Road
Kerala,2021,January,Thursday,00:49,Fatal,1,Truck,10,4,Clear,State Highway,Under Construction,Daylight,None,106,43,None,Yes,Bridge
Jammu and Kashmir,2020,May,Sunday,07:19,Minor,3,Cycle,11,1,Snowy,Urban Road,Wet,Dark,Police Checkpost,94,36,None,No,Bridge
Maharashtra,2023,August,Tuesday,04:09,Fatal,1,Truck,4,2,Clear,National Highway,Wet,Dark,Police Checkpost,46,66,Valid,Yes,Bridge
Uttar Pradesh,2018,July,Tuesday,22:52,Fatal,3,Pedestrian,7,0,Clear,National Highway,Dry,Dark,Signals,53,23,Valid,Yes,Straight Road
Punjab,2019,September,Sunday,17:29,Serious,1,Cycle,4,4,Clear,State Highway,Damaged,Dawn,None,36,43,Expired,Yes,Intersection
Rajasthan,2020,May,Friday,04:44,Minor,5,Truck,15,1,Foggy,Urban Road,Damaged,Dark,None,113,39,None,No,Straight Road
Gujarat,2021,October,Sunday,22:53,Fatal,5,Auto-Rickshaw,12,1,Clear,Urban Road,Under Construction,Dusk,Police Checkpost,66,43,Valid,Yes,Curve
Mizoram,2020,November,Saturday,17:57,Minor,3,Bus,13,2,Rainy,State Highway,Under Construction,Dark,Signals,89,51,Expired,No,Bridge
Kerala,2019,December,Tuesday,08:22,Minor,2,Cycle,7,1,Clear,State Highway,Under Construction,Dark,Signs,63,50,None,No,Straight Road
Uttar Pradesh,2018,March,Saturday,08:51,Serious,1,Cycle,9,5,Clear,Urban Road,Under Construction,Daylight,Signs,81,30,Expired,No,Straight Road
Odisha,2019,February,Wednesday,21:37,Fatal,1,Auto-Rickshaw,4,3,Clear,National Highway,Damaged,Daylight,None,37,44,Valid,Yes,Bridge
Uttarakhand,2020,December,Friday,21:29,Minor,3,Bus,7,0,Clear,Village Road,Damaged,Dark,Signs,39,12,None,No,Curve
Maharashtra,2021,January,Sunday,10:25,Fatal,2,Car,8,4,Foggy,Urban Road,Dry,Dusk,Signals,72,41,Valid,Yes,Intersection
Madhya Pradesh,2021,August,Sunday,06:36,Serious,4,Two-Wheeler,9,2,Rainy,Urban Road,Under Construction,Dawn,None,54,54,None,Yes,Intersection
Nagaland,2023,December,Saturday,13:40,Serious,4,Car,12,5,Clear,Village Road,Damaged,Dusk,Signs,95,25,Expired,No,Curve
Goa,2020,January,Monday,19:51,Minor,2,Auto-Rickshaw,10,1,Clear,Village Road,Under Construction,Daylight,Police Checkpost,114,19,Expired,No,Curve
Jammu and Kashmir,2020,May,Friday,12:27,Serious,5,Bus,15,0,Rainy,Village Road,Dry,Dark,Police Checkpost,112,54,None,No,Straight Road
Kerala,2020,February,Wednesday,13:13,Minor,2,Bus,7,0,Rainy,State Highway,Under Construction,Dusk,Signals,57,51,None,No,Bridge
Karnataka,2018,January,Wednesday,06:03,Fatal,5,Cycle,14,0,Foggy,Village Road,Wet,Dawn,Signs,100,28,None,Yes,Curve
Delhi,2020,July,Saturday,09:22,Minor,3,Truck,11,2,Rainy,State Highway,Under Construction,Dawn,Signals,87,47,Valid,No,Intersection
Punjab,2022,November,Monday,19:32,Fatal,3,Truck,7,0,Stormy,Village Road,Under Construction,Dawn,Signs,32,50,Valid,Yes,Bridge
Tripura,2023,May,Saturday,05:08,Fatal,5,Cycle,11,2,Rainy,Urban Road,Dry,Dark,Signs,81,43,None,Yes,Curve
Rajasthan,2019,October,Saturday,15:16,Minor,2,Bus,4,3,Clear,Village Road,Dry,Dark,Signals,39,35,None,No,Intersection
Uttar Pradesh,2021,July,Thursday,20:34,Fatal,2,Pedestrian,8,1,Rainy,National Highway,Wet,Dark,Signals,54,48,None,Yes,Curve
Puducherry,2020,August,Thursday,14:50,Minor,1,Two-Wheeler,4,5,Clear,Urban Road,Under Construction,Dusk,Signals,41,-2,Expired,No,Intersection
Rajasthan,2021,August,Sunday,02:04,Minor,1,Pedestrian,9,1,Clear,National Highway,Wet,Dawn,Signs,106,42,None,No,Intersection
Chandigarh,2019,March,Friday,13:38,Minor,4,Two-Wheeler,8,4,Clear,Village Road,Wet,Dark,Signals,39,46,Expired,No,Straight Road
Assam,2022,March,Saturday,23:32,Fatal,5,Cycle,7,4,Clear,Village Road,Damaged,Dawn,Signs,36,59,None,Yes,Curve
Meghalaya,2022,August,Sunday,04:46,Fatal,5,Cycle,15,5,Foggy,Urban Road,Dry,Dark,None,103,13,Expired,Yes,Straight Road
Uttar Pradesh,2023,March,Tuesday,07:34,Minor,1,Car,8,2,Rainy,State Highway,Dry,Dusk,Signs,80,24,None,No,Curve
Uttar Pradesh,2020,May,Thursday,03:23,Minor,5,Two-Wheeler,9,0,Foggy,Village Road,Wet,Daylight,Signs,44,24,Expired,No,Bridge
Kerala,2020,June,Thursday,12:50,Fatal,4,Pedestrian,9,1,Clear,Urban Road,Wet,Dusk,Signals,63,34,None,Yes,Curve
Telangana,2021,February,Monday,05:00,Minor,3,Car,8,0,Clear,Village Road,Wet,Dark,Police Checkpost,53,52,None,No,Curve
Madhya Pradesh,2020,August,Wednesday,19:46,Fatal,4,Auto-Rickshaw,11,4,Clear,Village Road,Wet,Dark,Signs,60,32,Expired,Yes,Curve
Himachal Pradesh,2019,July,Friday,21:19,Minor,1,Truck,10,0,Foggy,National Highway,Dry,Dark,Signs,108,35,None,No,Bridge
Assam,2019,June,Friday,01:48,Minor,4,Truck,7,4,Foggy,National Highway,Damaged,Dusk,Signals,36,28,Expired,No,Curve
Meghalaya,2023,December,Friday,02:51,Minor,5,Cycle,8,4,Clear,Urban Road,Damaged,Daylight,Police Checkpost,38,45,Valid,No,Straight Road
Karnataka,2023,July,Sunday,01:05,Serious,2,Two-Wheeler,6,4,Clear,Urban Road,Dry,Dawn,Police Checkpost,48,57,None,Yes,Curve
Gujarat,2021,October,Wednesday,08:06,Minor,2,Truck,11,3,Rainy,Village Road,Damaged,Dark,Police Checkpost,102,55,Valid,No,Bridge
Delhi,2020,November,Wednesday,20:42,Fatal,1,Pedestrian,12,5,Rainy,Urban Road,Wet,Dark,Signs,108,73,None,Yes,Straight Road
Mizoram,2021,February,Monday,19:41,Minor,5,Auto-Rickshaw,10,3,Clear,National Highway,Wet,Daylight,Signs,33,40,None,No,Curve
Tamil Nadu,2020,September,Sunday,05:29,Minor,4,Two-Wheeler,10,3,Rainy,Village Road,Damaged,Dusk,Police Checkpost,75,37,Valid,No,Straight Road
Jammu and Kashmir,2020,February,Monday,12:47,Minor,2,Truck,7,1,Clear,Village Road,Under Construction,Dusk,None,41,57,Expired,No,Intersection
Jammu and Kashmir,2023,June,Sunday,23:53,Fatal,3,Auto-Rickshaw,11,1,Foggy,National Highway,Under Construction,Dark,None,70,60,None,Yes,Bridge
Delhi,2018,June,Saturday,10:49,Minor,5,Bus,15,1,Stormy,National Highway,Damaged,Dark,Signs,109,42,Expired,No,Bridge
Jammu and Kashmir,2020,November,Thursday,03:10,Serious,5,Auto-Rickshaw,15,2,Rainy,Urban Road,Under Construction,Dark,Signs,82,35,None,Yes,Straight Road
